,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
0,2025-10-15,113028.13,113612.35,110164.0,110763.28,22986.48811,2025-10-15 23:59:59.999,2569639641.35276860,5243141,10499.31831000,1173678794.92077390,0
1,2025-10-16,110763.28,111982.45,107427.0,108194.28,29857.17252,2025-10-16 23:59:59.999,3277596494.76191940,6127094,13126.95119000,1441416875.12637710,0
2,2025-10-17,108194.27,109240.0,103528.23,106431.68,37920.66838,2025-10-17 23:59:59.999,4022645635.22120190,7570685,17996.99946000,1909654487.45622080,0
3,2025-10-18,106431.68,107499.0,106322.2,107185.01,11123.18766,2025-10-18 23:59:59.999,1189002999.14311300,2105450,4845.85641000,518065716.66181290,0
4,2025-10-19,107185.0,109450.07,106103.36,108642.78,15480.66423,2025-10-19 23:59:59.999,1670074079.58023430,3205640,7100.31013000,766423535.81773780,0
5,2025-10-20,108642.77,111705.56,107402.52,110532.09,19193.4416,2025-10-20 23:59:59.999,2119912185.59346830,4283542,9280.50075000,1024925788.72169910,0
6,2025-10-21,110532.09,114000.0,107473.72,108297.67,37228.01659,2025-10-21 23:59:59.999,4114477849.93205410,6004063,17034.07155000,1881327751.33461280,0
7,2025-10-22,108297.66,109163.88,106666.69,107567.44,28610.78451,2025-10-22 23:59:59.999,3090291706.44398170,5547903,13766.58861000,1487179903.59997880,0
8,2025-10-23,107567.45,111293.61,107500.0,110078.18,17573.09294,2025-10-23 23:59:59.999,1924582289.41139380,3721614,8575.33716000,938905317.70341070,0
9,2025-10-24,110078.19,112104.98,109700.01,111004.89,15005.16913,2025-10-24 23:59:59.999,1662806764.95333240,3241022,7511.24340000,832390454.80762260,0
10,2025-10-25,111004.9,111943.19,110672.86,111646.27,6407.96864,2025-10-25 23:59:59.999,714201332.97512240,1238199,3087.08660000,344113931.79994520,0
11,2025-10-26,111646.27,115466.8,111260.45,114559.4,13454.47737,2025-10-26 23:59:59.999,1525108635.87482900,2463951,6982.18154000,791462349.35160560,0
12,2025-10-27,114559.41,116400.0,113830.01,114107.65,21450.23241,2025-10-27 23:59:59.999,2470872744.54896810,3660488,10969.70182000,1263753536.99738980,0
13,2025-10-28,114107.65,116086.0,112211.0,112898.45,15523.42257,2025-10-28 23:59:59.999,1772753529.86427430,3829845,7765.31574000,887031686.01637250,0
14,2025-10-29,112898.44,113643.73,109200.0,110021.29,21079.71376,2025-10-29 23:59:59.999,2356715986.53354560,4481480,10407.07233000,1163985607.35690850,0
15,2025-10-30,110021.3,111592.0,106304.34,108322.88,25988.82838,2025-10-30 23:59:59.999,2827221287.42279770,6373451,12551.13144000,1365671836.74559240,0
16,2025-10-31,108322.87,111190.0,108275.28,109608.01,21518.20439,2025-10-31 23:59:59.999,2361590437.94141060,5256872,10798.53938000,1185034290.92377970,0
17,2025-11-01,109608.01,110564.49,109394.81,110098.1,7378.50431,2025-11-01 23:59:59.999,812389216.43467980,1994214,3406.68401000,375126956.08097220,0
18,2025-11-02,110098.1,111250.01,109471.34,110540.68,12107.00087,2025-11-02 23:59:59.999,1336870531.14150130,2652188,5921.86453000,654016950.25497770,0
19,2025-11-03,110540.69,110750.0,105306.56,106583.04,28681.18779,2025-11-03 23:59:59.999,3076006652.00156760,7074546,12847.08574000,1377869106.66817760,0
20,2025-11-04,106583.05,107299.0,98944.36,101497.22,50534.87376,2025-11-04 23:59:59.999,5197697635.21241310,9099609,23388.99033000,2406186713.17052980,0
21,2025-11-05,101497.23,104534.74,98966.8,103885.16,33778.77571,2025-11-05 23:59:59.999,3454273922.70038500,6500368,18126.84828000,1854232277.03301110,0
22,2025-11-06,103885.16,104200.0,100300.95,101346.04,25814.62139,2025-11-06 23:59:59.999,2641767846.30582700,5755001,11972.54796000,1225474173.02042840,0
23,2025-11-07,101346.04,104096.36,99260.86,103339.08,32059.50942,2025-11-07 23:59:59.999,3251112979.30588400,6335759,16056.80582000,1629564159.11657990,0
24,2025-11-08,103339.09,103406.22,101454.0,102312.94,12390.77985,2025-11-08 23:59:59.999,1267165565.37527010,2743819,5862.65977000,599611355.36714670,0
25,2025-11-09,102312.95,105495.62,101400.0,104722.96,16338.97096,2025-11-09 23:59:59.999,1687020822.36682080,3404204,8224.94939000,849620657.08690970,0
26,2025-11-10,104722.95,106670.11,104265.02,106011.13,22682.25673,2025-11-10 23:59:59.999,2400141664.38934170,4710957,11595.81944000,1226965888.74676980,0
27,2025-11-11,106011.13,107500.0,102476.09,103058.99,24196.50718,2025-11-11 23:59:59.999,2532279071.00692150,5532149,10717.03395000,1121890584.19977650,0
28,2025-11-12,103059.0,105333.33,100813.59,101654.37,20457.63906,2025-11-12 23:59:59.999,2108514405.26087720,5314132,10155.72095000,1047214063.13828700,0
29,2025-11-13,101654.37,104085.01,100715.31,101152.18,19091.02373,2025-11-13 23:59:59.999,1956270901.35350420,4572231,9450.76821000,968290987.87152800,0
